plot_id,tier,MMP,MAT,MaxTemp,MinTemp,BurnedAreaMean
CH_A7,China_2016,158.400329589844,1.46150493621826,14.1575794219971,-19.4348411560059,0
CH_A2,China_2016,158.400329589844,1.46150493621826,14.1575794219971,-19.4348411560059,0
CH_A6,China_2016,158.400329589844,1.46150493621826,14.1575794219971,-19.4348411560059,0
CH_A1,China_2016,158.400329589844,1.46150493621826,14.1575794219971,-19.4348411560059,0
CH_A3,China_2016,158.400329589844,1.46150493621826,14.1575794219971,-19.4348411560059,0
CH_A4,China_2016,158.400329589844,1.46150493621826,14.1575794219971,-19.4348411560059,0
CH_A5,China_2016,158.400329589844,1.46150493621826,14.1575794219971,-19.4348411560059,0
CH_H5,China_2016,151.280975341797,-0.16126012802124,13.1402797698975,-21.3694381713867,0
CH_H4,China_2016,151.280975341797,-0.16126012802124,13.1402797698975,-21.3694381713867,0
CH_H1,China_2016,151.280975341797,-0.16126012802124,13.1402797698975,-21.3694381713867,0
CH_H3,China_2016,151.280975341797,-0.16126012802124,13.1402797698975,-21.3694381713867,0
CH_M3,China_2016,170.031982421875,2.75832509994507,15.0499992370605,-17.75,0
CH_M4,China_2016,170.031982421875,2.75832509994507,15.0499992370605,-17.75,0
CH_M1,China_2016,170.031982421875,2.75832509994507,15.0499992370605,-17.75,0
CH_M6,China_2016,170.031982421875,2.75832509994507,15.0499992370605,-17.75,0
CH_M5,China_2016,170.031982421875,2.75832509994507,15.0499992370605,-17.75,0
CH_M2,China_2016,170.031982421875,2.75832509994507,15.0499992370605,-17.75,0
CH_M7,China_2016,170.031982421875,2.75832509994507,15.0499992370605,-17.75,0
CH_L5,China_2016,165.596496582031,4.9189453125,16.4500007629395,-15.25,0
CH_L7,China_2016,165.596496582031,4.9189453125,16.4500007629395,-15.25,0
CH_L4,China_2016,165.596496582031,4.9189453125,16.4500007629395,-15.25,0
CH_L2,China_2016,165.596496582031,4.9189453125,16.4500007629395,-15.25,0
CH_L3,China_2016,165.596496582031,4.9189453125,16.4500007629395,-15.25,0
CH_L6,China_2016,165.596496582031,4.9189453125,16.4500007629395,-15.25,0
CH_L1,China_2016,165.596496582031,4.9189453125,16.4500007629395,-15.25,0
PE_ACJ_B_1,Peru_2018,226.124862670898,9.00870418548584,14.8341569900513,2.61831188201904,1.11118566989899
PE_ACJ_B_2,Peru_2018,226.115112304688,9.00880813598633,14.8343286514282,2.61865973472595,1.11118566989899
PE_ACJ_B_3,Peru_2018,226.060501098633,9.00939273834229,14.8353061676025,2.62061095237732,1.11118566989899
PE_ACJ_B_4,Peru_2018,226.028884887695,9.00973033905029,14.8358697891235,2.62173938751221,1.11118566989899
PE_ACJ_B_5,Peru_2018,226.033813476563,9.00967788696289,14.8357830047607,2.62156391143799,1.11118566989899
PE_ACJ_C_1,Peru_2018,233.179306030273,8.08553409576416,14.0505561828613,0.75135213136673,1.11118566989899
PE_ACJ_C_2,Peru_2018,233.181198120117,8.0848388671875,14.0499992370605,0.75,1.11118566989899
PE_ACJ_C_3,Peru_2018,233.181167602539,8.0848388671875,14.0500001907349,0.75,1.11118566989899
PE_ACJ_C_4,Peru_2018,233.181198120117,8.0848388671875,14.0499992370605,0.75,1.11118566989899
PE_ACJ_C_5,Peru_2018,233.181182861328,8.0848388671875,14.0500011444092,0.75,1.11118566989899
PE_PIL_B_1,Peru_2018,236.452697753906,7.64848613739014,13.5500001907349,-0.75,0.700324654579163
PE_PIL_B_2,Peru_2018,236.452713012695,7.64848613739014,13.5499992370605,-0.75,0.701537370681763
PE_PIL_B_3,Peru_2018,236.452697753906,7.64848613739014,13.5500001907349,-0.75,0.700751602649689
PE_PIL_B_4,Peru_2018,236.452713012695,7.64848566055298,13.5500011444092,-0.75,0.685693860054016
PE_PIL_B_5,Peru_2018,236.452682495117,7.64848566055298,13.5500001907349,-0.75,0.625388026237488
PE_PIL_C_2,Peru_2018,236.452713012695,7.64848613739014,13.5500001907349,-0.75,0.890487015247345
PE_PIL_C_3,Peru_2018,236.452713012695,7.64848566055298,13.5500011444092,-0.75,0.868421852588654
PE_PIL_C_4,Peru_2018,236.452697753906,7.64848613739014,13.5500001907349,-0.75,0.745004296302795
PE_PIL_C_5,Peru_2018,236.452697753906,7.64848613739014,13.5500001907349,-0.75,0.719983875751495
PE_PIL_C_1,Peru_2018,236.452682495117,7.64848613739014,13.5500011444092,-0.75,0.90479189157486
PE_QUE_B_1,Peru_2018,229.038726806641,6.64772891998291,12.8500003814697,-1.54999995231628,0.464994221925736
PE_QUE_B_2,Peru_2018,229.038726806641,6.64772939682007,12.8500003814697,-1.54999995231628,0.464994221925736
PE_QUE_B_3,Peru_2018,229.038726806641,6.64772987365723,12.8500003814697,-1.54999995231628,0.464994221925736
PE_QUE_B_4,Peru_2018,229.03874206543,6.64772987365723,12.8500003814697,-1.54999995231628,0.464994251728058
PE_QUE_B_5,Peru_2018,229.038726806641,6.64772939682007,12.8500003814697,-1.54999995231628,0.464994221925736
PE_WAY_B_1,Peru_2018,242.598785400391,10.8121089935303,16.5499992370605,4.75,0.883451282978058
PE_WAY_B_2,Peru_2018,242.59880065918,10.8121089935303,16.5499992370605,4.75,0.883451282978058
PE_WAY_B_3,Peru_2018,242.598785400391,10.8121089935303,16.5499992370605,4.75,0.883451282978058
PE_WAY_B_4,Peru_2018,242.59880065918,10.8121089935303,16.5499992370605,4.75,0.883451282978058
PE_WAY_B_5,Peru_2018,242.59880065918,10.8121089935303,16.5499992370605,4.75,0.883451282978058
PE_WAY_C_1,Peru_2018,242.59880065918,10.8121089935303,16.5499992370605,4.75,0.883451342582703
PE_WAY_C_2,Peru_2018,242.598785400391,10.8121089935303,16.5499992370605,4.75,0.883451282978058
PE_WAY_C_3,Peru_2018,242.59880065918,10.8121089935303,16.5499992370605,4.75,0.883451282978058
PE_WAY_C_4,Peru_2018,242.598785400391,10.8121089935303,16.5499992370605,4.75,0.883451223373413
PE_WAY_C_5,Peru_2018,242.59880065918,10.8121089935303,16.5499992370605,4.75,0.883451282978058
PE_ACJ_B_1,Peru_2019,226.124862670898,9.00870418548584,14.8341569900513,2.61831188201904,1.11118566989899
PE_ACJ_B_2,Peru_2019,226.115112304688,9.00880813598633,14.8343286514282,2.61865973472595,1.11118566989899
PE_ACJ_B_3,Peru_2019,226.060501098633,9.00939273834229,14.8353061676025,2.62061095237732,1.11118566989899
PE_ACJ_B_4,Peru_2019,226.028884887695,9.00973033905029,14.8358697891235,2.62173938751221,1.11118566989899
PE_ACJ_B_5,Peru_2019,226.033813476563,9.00967788696289,14.8357830047607,2.62156391143799,1.11118566989899
PE_ACJ_C_1,Peru_2019,233.179306030273,8.08553409576416,14.0505561828613,0.75135213136673,1.11118566989899
PE_ACJ_C_2,Peru_2019,233.181198120117,8.0848388671875,14.0499992370605,0.75,1.11118566989899
PE_ACJ_C_3,Peru_2019,233.181167602539,8.0848388671875,14.0500001907349,0.75,1.11118566989899
PE_ACJ_C_4,Peru_2019,233.181198120117,8.0848388671875,14.0499992370605,0.75,1.11118566989899
PE_ACJ_C_5,Peru_2019,233.181182861328,8.0848388671875,14.0500011444092,0.75,1.11118566989899
PE_ACJ_NB_1,Peru_2019,230.835144042969,8.95834922790527,14.7500410079956,2.45008230209351,1.11118566989899
PE_ACJ_NB_2,Peru_2019,230.835144042969,8.95834922790527,14.7500410079956,2.45008230209351,1.11118566989899
PE_ACJ_NB_3,Peru_2019,230.835144042969,8.95834922790527,14.7500410079956,2.45008230209351,1.11118566989899
PE_ACJ_NB_4,Peru_2019,230.835144042969,8.95834922790527,14.7500410079956,2.45008230209351,1.11118566989899
PE_ACJ_NB_5,Peru_2019,230.835144042969,8.95834922790527,14.7500410079956,2.45008230209351,1.11118566989899
PE_PIL_B_1,Peru_2019,236.452697753906,7.64848613739014,13.5500001907349,-0.75,0.700324654579163
PE_PIL_B_2,Peru_2019,236.452713012695,7.64848613739014,13.5499992370605,-0.75,0.701537370681763
PE_PIL_B_3,Peru_2019,236.452697753906,7.64848613739014,13.5500001907349,-0.75,0.700751602649689
PE_PIL_B_4,Peru_2019,236.452713012695,7.64848566055298,13.5500011444092,-0.75,0.685693860054016
PE_PIL_B_5,Peru_2019,236.452682495117,7.64848566055298,13.5500001907349,-0.75,0.625388026237488
PE_PIL_C_1,Peru_2019,236.452682495117,7.64848613739014,13.5500011444092,-0.75,0.90479189157486
PE_PIL_C_2,Peru_2019,236.452713012695,7.64848613739014,13.5500001907349,-0.75,0.890487015247345
PE_PIL_C_3,Peru_2019,236.452713012695,7.64848566055298,13.5500011444092,-0.75,0.868421852588654
PE_PIL_C_4,Peru_2019,236.452697753906,7.64848613739014,13.5500001907349,-0.75,0.745004296302795
PE_PIL_C_5,Peru_2019,236.452697753906,7.64848613739014,13.5500001907349,-0.75,0.719983875751495
PE_QUE_B_1,Peru_2019,229.038726806641,6.64772891998291,12.8500003814697,-1.54999995231628,0.464994221925736
PE_QUE_B_2,Peru_2019,229.038726806641,6.64772939682007,12.8500003814697,-1.54999995231628,0.464994221925736
PE_QUE_B_3,Peru_2019,229.038726806641,6.64772987365723,12.8500003814697,-1.54999995231628,0.464994221925736
PE_QUE_B_4,Peru_2019,229.03874206543,6.64772987365723,12.8500003814697,-1.54999995231628,0.464994251728058
PE_QUE_B_5,Peru_2019,229.038726806641,6.64772939682007,12.8500003814697,-1.54999995231628,0.464994221925736
PE_TRE_NB_1,Peru_2019,251.3779296875,7.67954158782959,13.5500001907349,-1.25,0.930353581905365
PE_TRE_NB_2,Peru_2019,251.3779296875,7.67954063415527,13.5499992370605,-1.25,0.930353581905365
PE_TRE_NB_3,Peru_2019,251.3779296875,7.67954111099243,13.5500001907349,-1.25,0.930353581905365
PE_TRE_NB_4,Peru_2019,251.3779296875,7.67954111099243,13.5500011444092,-1.25,0.930353581905365
PE_TRE_NB_5,Peru_2019,251.377944946289,7.67954111099243,13.5499992370605,-1.25,0.93035364151001
PE_TRE_C_1,Peru_2019,268.454467773438,6.83864688873291,12.75,-3.65000009536743,0.930353581905365
PE_TRE_C_2,Peru_2019,268.454467773438,6.83864688873291,12.75,-3.65000009536743,0.930353581905365
PE_TRE_C_3,Peru_2019,268.454467773438,6.83864784240723,12.75,-3.65000033378601,0.93035364151001
PE_TRE_C_4,Peru_2019,268.454467773438,6.83864688873291,12.75,-3.65000009536743,0.930353581905365
PE_TRE_C_5,Peru_2019,268.454467773438,6.83864736557007,12.75,-3.65000009536743,0.93035364151001
PE_WAY_B_1,Peru_2019,242.598785400391,10.8121089935303,16.5499992370605,4.75,0.883451282978058
PE_WAY_B_2,Peru_2019,242.59880065918,10.8121089935303,16.5499992370605,4.75,0.883451282978058
PE_WAY_B_3,Peru_2019,242.598785400391,10.8121089935303,16.5499992370605,4.75,0.883451282978058
PE_WAY_B_4,Peru_2019,242.59880065918,10.8121089935303,16.5499992370605,4.75,0.883451282978058
PE_WAY_B_5,Peru_2019,242.59880065918,10.8121089935303,16.5499992370605,4.75,0.883451282978058
PE_WAY_C_1,Peru_2019,242.59880065918,10.8121089935303,16.5499992370605,4.75,0.883451342582703
PE_WAY_C_2,Peru_2019,242.598785400391,10.8121089935303,16.5499992370605,4.75,0.883451282978058
PE_WAY_C_3,Peru_2019,242.59880065918,10.8121089935303,16.5499992370605,4.75,0.883451282978058
PE_WAY_C_4,Peru_2019,242.598785400391,10.8121089935303,16.5499992370605,4.75,0.883451223373413
PE_WAY_C_5,Peru_2019,242.59880065918,10.8121089935303,16.5499992370605,4.75,0.883451282978058
PE_ACJ_B_1,Peru_2020,226.124862670898,9.00870418548584,14.8341569900513,2.61831188201904,1.11118566989899
PE_ACJ_B_2,Peru_2020,226.115112304688,9.00880813598633,14.8343286514282,2.61865973472595,1.11118566989899
PE_ACJ_B_3,Peru_2020,226.060501098633,9.00939273834229,14.8353061676025,2.62061095237732,1.11118566989899
PE_ACJ_B_4,Peru_2020,226.028884887695,9.00973033905029,14.8358697891235,2.62173938751221,1.11118566989899
PE_ACJ_B_5,Peru_2020,226.033813476563,9.00967788696289,14.8357830047607,2.62156391143799,1.11118566989899
PE_ACJ_C_1,Peru_2020,233.179306030273,8.08553409576416,14.0505561828613,0.75135213136673,1.11118566989899
PE_ACJ_C_2,Peru_2020,233.181198120117,8.0848388671875,14.0499992370605,0.75,1.11118566989899
PE_ACJ_C_3,Peru_2020,233.181167602539,8.0848388671875,14.0500001907349,0.75,1.11118566989899
PE_ACJ_C_4,Peru_2020,233.181198120117,8.0848388671875,14.0499992370605,0.75,1.11118566989899
PE_ACJ_C_5,Peru_2020,233.181182861328,8.0848388671875,14.0500011444092,0.75,1.11118566989899
PE_ACJ_NB_1,Peru_2020,230.835144042969,8.95834922790527,14.7500410079956,2.45008230209351,1.11118566989899
PE_ACJ_NB_2,Peru_2020,230.835144042969,8.95834922790527,14.7500410079956,2.45008230209351,1.11118566989899
PE_ACJ_NB_3,Peru_2020,230.835144042969,8.95834922790527,14.7500410079956,2.45008230209351,1.11118566989899
PE_ACJ_NB_4,Peru_2020,230.835144042969,8.95834922790527,14.7500410079956,2.45008230209351,1.11118566989899
PE_ACJ_NB_5,Peru_2020,230.835144042969,8.95834922790527,14.7500410079956,2.45008230209351,1.11118566989899
PE_QUE_B_1,Peru_2020,229.038726806641,6.64772891998291,12.8500003814697,-1.54999995231628,0.464994221925736
PE_QUE_B_2,Peru_2020,229.038726806641,6.64772939682007,12.8500003814697,-1.54999995231628,0.464994221925736
PE_QUE_B_3,Peru_2020,229.038726806641,6.64772987365723,12.8500003814697,-1.54999995231628,0.464994221925736
PE_QUE_B_4,Peru_2020,229.03874206543,6.64772987365723,12.8500003814697,-1.54999995231628,0.464994251728058
PE_QUE_B_5,Peru_2020,229.038726806641,6.64772939682007,12.8500003814697,-1.54999995231628,0.464994221925736
PE_TRE_NB_1,Peru_2020,251.3779296875,7.67954158782959,13.5500001907349,-1.25,0.930353581905365
PE_TRE_NB_2,Peru_2020,251.3779296875,7.67954063415527,13.5499992370605,-1.25,0.930353581905365
PE_TRE_NB_3,Peru_2020,251.3779296875,7.67954111099243,13.5500001907349,-1.25,0.930353581905365
PE_TRE_NB_4,Peru_2020,251.3779296875,7.67954111099243,13.5500011444092,-1.25,0.930353581905365
PE_TRE_NB_5,Peru_2020,251.377944946289,7.67954111099243,13.5499992370605,-1.25,0.93035364151001
PE_TRE_C_1,Peru_2020,268.454467773438,6.83864688873291,12.75,-3.65000009536743,0.930353581905365
PE_TRE_C_2,Peru_2020,268.454467773438,6.83864688873291,12.75,-3.65000009536743,0.930353581905365
PE_TRE_C_3,Peru_2020,268.454467773438,6.83864784240723,12.75,-3.65000033378601,0.93035364151001
PE_TRE_C_4,Peru_2020,268.454467773438,6.83864688873291,12.75,-3.65000009536743,0.930353581905365
PE_TRE_C_5,Peru_2020,268.454467773438,6.83864736557007,12.75,-3.65000009536743,0.93035364151001
PE_WAY_B_1,Peru_2020,242.598785400391,10.8121089935303,16.5499992370605,4.75,0.883451282978058
PE_WAY_B_2,Peru_2020,242.59880065918,10.8121089935303,16.5499992370605,4.75,0.883451282978058
PE_WAY_B_3,Peru_2020,242.598785400391,10.8121089935303,16.5499992370605,4.75,0.883451282978058
PE_WAY_B_4,Peru_2020,242.59880065918,10.8121089935303,16.5499992370605,4.75,0.883451282978058
PE_WAY_B_5,Peru_2020,242.59880065918,10.8121089935303,16.5499992370605,4.75,0.883451282978058
PE_WAY_C_1,Peru_2020,242.59880065918,10.8121089935303,16.5499992370605,4.75,0.883451342582703
PE_WAY_C_2,Peru_2020,242.598785400391,10.8121089935303,16.5499992370605,4.75,0.883451282978058
PE_WAY_C_3,Peru_2020,242.59880065918,10.8121089935303,16.5499992370605,4.75,0.883451282978058
PE_WAY_C_4,Peru_2020,242.598785400391,10.8121089935303,16.5499992370605,4.75,0.883451223373413
PE_WAY_C_5,Peru_2020,242.59880065918,10.8121089935303,16.5499992370605,4.75,0.883451282978058
SV_ITEXBIS_L10,Svalbard_2018,43.4122314453125,-4.71204710006714,7.10552597045898,-21.1179809570313,
SV_ITEXBIS_L2,Svalbard_2018,43.4122314453125,-4.71204710006714,7.10552597045898,-21.1179809570313,
SV_ITEXBIS_L3,Svalbard_2018,43.4122314453125,-4.71204710006714,7.10552597045898,-21.1179809570313,
SV_ITEXBIS_L6,Svalbard_2018,43.4122314453125,-4.71204710006714,7.10552597045898,-21.1179809570313,
SV_ITEXBIS_L8,Svalbard_2018,43.4122314453125,-4.71204710006714,7.10552597045898,-21.1179809570313,
SV_ITEXCAS_L1,Svalbard_2018,43.4122314453125,-4.71204710006714,7.10552597045898,-21.1179809570313,
SV_ITEXCAS_L10,Svalbard_2018,43.4122314453125,-4.71204710006714,7.10552597045898,-21.1179809570313,
SV_ITEXCAS_L3,Svalbard_2018,43.4122314453125,-4.71204710006714,7.10552597045898,-21.1179809570313,
SV_ITEXCAS_L7,Svalbard_2018,43.4122314453125,-4.71204710006714,7.10552597045898,-21.1179809570313,
SV_ITEXCAS_L9,Svalbard_2018,43.4122314453125,-4.71204710006714,7.10552597045898,-21.1179809570313,
SV_ITEXDRY_L1,Svalbard_2018,43.4122314453125,-4.71204710006714,7.10552597045898,-21.1179809570313,
SV_ITEXDRY_L2,Svalbard_2018,43.4122314453125,-4.71204710006714,7.10552597045898,-21.1179809570313,
SV_ITEXDRY_L5,Svalbard_2018,43.4122314453125,-4.71204710006714,7.10552597045898,-21.1179809570313,
SV_ITEXDRY_L7,Svalbard_2018,43.4122314453125,-4.71204710006714,7.10552597045898,-21.1179809570313,
SV_ITEXDRY_L8,Svalbard_2018,43.4122314453125,-4.71204710006714,7.10552597045898,-21.1179809570313,
SV_C2A,Svalbard_2018,37.4714775085449,-3.87862157821655,7.24999952316284,-20.25,
SV_C2B,Svalbard_2018,37.4765281677246,-3.87882351875305,7.25000047683716,-20.25,
SV_C2C,Svalbard_2018,37.4813041687012,-3.87901449203491,7.24999952316284,-20.25,
SV_C2D,Svalbard_2018,37.4871826171875,-3.87924933433533,7.24999952316284,-20.2499980926514,
SV_C2E,Svalbard_2018,37.4910850524902,-3.87940549850464,7.25,-20.25,
SV_C3A,Svalbard_2018,38.1436195373535,-3.90905332565308,7.25000047683716,-20.2386665344238,
SV_C3B,Svalbard_2018,38.1532936096191,-3.90986585617065,7.25,-20.2373085021973,
SV_C3C,Svalbard_2018,38.1692276000977,-3.91120338439941,7.25,-20.235071182251,
SV_C3D,Svalbard_2018,38.1842765808106,-3.91246771812439,7.25000047683716,-20.2329597473145,
SV_C3E,Svalbard_2018,38.1989288330078,-3.91369795799255,7.25,-20.2309017181397,
SV_C4A,Svalbard_2018,38.4112396240234,-3.93152761459351,7.25,-20.2011051177979,
SV_C4B,Svalbard_2018,38.431282043457,-3.93321108818054,7.25,-20.1982936859131,
SV_C4C,Svalbard_2018,38.4542617797852,-3.93514037132263,7.25,-20.1950702667236,
SV_C4D,Svalbard_2018,38.4780387878418,-3.93713712692261,7.24999952316284,-20.1917304992676,
SV_C4E,Svalbard_2018,38.5004959106445,-3.9390230178833,7.25,-20.1885814666748,
SV_B5A,Svalbard_2018,42.9019775390625,-4.47210121154785,6.94683313369751,-18.6531658172607,
SV_B5B,Svalbard_2018,42.8822212219238,-4.47083044052124,6.94807958602905,-18.6517524719238,
SV_B5C,Svalbard_2018,42.8609809875488,-4.46916151046753,6.9489107131958,-18.6503925323486,
SV_B5D,Svalbard_2018,42.8379554748535,-4.46720123291016,6.94956016540527,-18.6489944458008,
SV_B5E,Svalbard_2018,42.8140830993652,-4.46502161026001,6.94998645782471,-18.6476230621338,
SV_C5A,Svalbard_2018,38.756290435791,-4.00494527816772,7.22863531112671,-20.2717761993408,
SV_C5B,Svalbard_2018,38.7145576477051,-3.99637722969055,7.23109340667725,-20.264404296875,
SV_C5C,Svalbard_2018,38.6764678955078,-3.98821759223938,7.23350238800049,-20.2568130493164,
SV_C5D,Svalbard_2018,38.6171264648438,-3.97708606719971,7.23645734786987,-20.2486553192139,
SV_C5E,Svalbard_2018,38.5847473144531,-3.96963667869568,7.2387490272522,-20.2407665252686,
SV_C6A,Svalbard_2018,42.4140663146973,-4.64911699295044,7.05000019073486,-20.6146068572998,
SV_C6B,Svalbard_2018,42.4580802917481,-4.65543222427368,7.05000066757202,-20.6175518035889,
SV_C6C,Svalbard_2018,42.4957542419434,-4.66083765029907,7.05000019073486,-20.6200752258301,
SV_C6D,Svalbard_2018,42.5343627929688,-4.66637706756592,7.05000019073486,-20.6226577758789,
SV_C6E,Svalbard_2018,42.7622566223145,-4.6990761756897,7.05000019073486,-20.6379089355469,
SV_C6F,Svalbard_2018,42.7948875427246,-4.70375776290894,7.04999971389771,-20.6400909423828,
SV_C6G,Svalbard_2018,42.827392578125,-4.70842218399048,7.05000019073486,-20.6422672271729,
SV_C7A,Svalbard_2018,42.5507392883301,-4.66872692108154,7.05000019073486,-20.6237545013428,
SV_C7B,Svalbard_2018,42.5945358276367,-4.6750111579895,7.05000019073486,-20.6266841888428,
SV_C7C,Svalbard_2018,42.6421012878418,-4.68183565139771,7.05000066757202,-20.6298675537109,
SV_C7D,Svalbard_2018,42.6900405883789,-4.68871402740479,7.05000019073486,-20.6330757141113,
NO_Hog_TTC 101,Norway_2022,130.108261108398,3.68079090118408,20.9550971984863,-18.9474544525147,0
NO_Hog_TTC 110,Norway_2022,130.108261108398,3.68079090118408,20.9550971984863,-18.9474544525147,0
NO_Hog_TTC 115,Norway_2022,130.108261108398,3.68079090118408,20.9550971984863,-18.9474544525147,0
NO_Joa_109 AN3C 109,Norway_2022,142.217971801758,2.48806405067444,19.6879730224609,-19.7228775024414,0
