site,taxon_std,taxon,year,date,plot,abundance,notes
Almont,Achnatherum hymenoides,Achnatherum hymenoides,2016,2016-06-11T00:00:00Z,1,4,NA
Almont,Achnatherum hymenoides,Achnatherum hymenoides,2016,2016-06-11T00:00:00Z,2,0,NA
Almont,Achnatherum hymenoides,Achnatherum hymenoides,2016,2016-06-11T00:00:00Z,3,0,NA
Almont,Achnatherum hymenoides,Achnatherum hymenoides,2016,2016-06-11T00:00:00Z,4,0,NA
Almont,Achnatherum hymenoides,Achnatherum hymenoides,2016,2016-06-11T00:00:00Z,5,0,NA
Almont,Achnatherum pinetorum,Achnatherum pinetorum,2016,2016-06-11T00:00:00Z,1,0,"This is much more common than A. webberi, which was ID in 2009, and is very similar except persistent awn, longer awn."
Almont,Achnatherum pinetorum,Achnatherum pinetorum,2016,2016-06-11T00:00:00Z,2,2,"This is much more common than A. webberi, which was ID in 2009, and is very similar except persistent awn, longer awn."
Almont,Achnatherum pinetorum,Achnatherum pinetorum,2016,2016-06-11T00:00:00Z,3,16,"This is much more common than A. webberi, which was ID in 2009, and is very similar except persistent awn, longer awn."
Almont,Achnatherum pinetorum,Achnatherum pinetorum,2016,2016-06-11T00:00:00Z,4,2,"This is much more common than A. webberi, which was ID in 2009, and is very similar except persistent awn, longer awn."
Almont,Achnatherum pinetorum,Achnatherum pinetorum,2016,2016-06-11T00:00:00Z,5,0,"This is much more common than A. webberi, which was ID in 2009, and is very similar except persistent awn, longer awn."
Almont,Antennaria parvifolia,Antennaria parvifolia,2016,2016-06-11T00:00:00Z,1,0,NA
Almont,Antennaria parvifolia,Antennaria parvifolia,2016,2016-06-11T00:00:00Z,2,6,NA
Almont,Antennaria parvifolia,Antennaria parvifolia,2016,2016-06-11T00:00:00Z,3,0,NA
Almont,Antennaria parvifolia,Antennaria parvifolia,2016,2016-06-11T00:00:00Z,4,0,NA
Almont,Antennaria parvifolia,Antennaria parvifolia,2016,2016-06-11T00:00:00Z,5,0,NA
Almont,Artemisia arbuscula,Artemisia arbuscula,2016,2016-06-11T00:00:00Z,1,0,NA
Almont,Artemisia arbuscula,Artemisia arbuscula,2016,2016-06-11T00:00:00Z,2,7,NA
Almont,Artemisia arbuscula,Artemisia arbuscula,2016,2016-06-11T00:00:00Z,3,9,NA
Almont,Artemisia arbuscula,Artemisia arbuscula,2016,2016-06-11T00:00:00Z,4,6,NA
Almont,Artemisia arbuscula,Artemisia arbuscula,2016,2016-06-11T00:00:00Z,5,5,NA
Almont,Artemisia tridentata,Artemisia tridentata,2016,2016-06-11T00:00:00Z,1,2,NA
Almont,Artemisia tridentata,Artemisia tridentata,2016,2016-06-11T00:00:00Z,2,0,NA
Almont,Artemisia tridentata,Artemisia tridentata,2016,2016-06-11T00:00:00Z,3,0,NA
Almont,Artemisia tridentata,Artemisia tridentata,2016,2016-06-11T00:00:00Z,4,0,NA
Almont,Artemisia tridentata,Artemisia tridentata,2016,2016-06-11T00:00:00Z,5,0,NA
Almont,Balsamorhiza sagittata,Balsamorhiza sagittata,2016,2016-06-11T00:00:00Z,1,0,"Most flowers grazed in past 2 weeks. Counted some small, hairy leaves as seedling BASA (Plot 1: 0 seedlings, 2:1, 3:0, 4:4, 5:2). Was pretty confident about this."
Almont,Balsamorhiza sagittata,Balsamorhiza sagittata,2016,2016-06-11T00:00:00Z,2,1,"Most flowers grazed in past 2 weeks. Counted some small, hairy leaves as seedling BASA (Plot 1: 0 seedlings, 2:1, 3:0, 4:4, 5:2). Was pretty confident about this."
Almont,Balsamorhiza sagittata,Balsamorhiza sagittata,2016,2016-06-11T00:00:00Z,3,1,"Most flowers grazed in past 2 weeks. Counted some small, hairy leaves as seedling BASA (Plot 1: 0 seedlings, 2:1, 3:0, 4:4, 5:2). Was pretty confident about this."
Almont,Balsamorhiza sagittata,Balsamorhiza sagittata,2016,2016-06-11T00:00:00Z,4,7,"Most flowers grazed in past 2 weeks. Counted some small, hairy leaves as seedling BASA (Plot 1: 0 seedlings, 2:1, 3:0, 4:4, 5:2). Was pretty confident about this."
Almont,Balsamorhiza sagittata,Balsamorhiza sagittata,2016,2016-06-11T00:00:00Z,5,2,"Most flowers grazed in past 2 weeks. Counted some small, hairy leaves as seedling BASA (Plot 1: 0 seedlings, 2:1, 3:0, 4:4, 5:2). Was pretty confident about this."
Almont,Boechera lignifera,Boechera lignifera,2016,2016-06-11T00:00:00Z,1,1,NA
Almont,Boechera lignifera,Boechera lignifera,2016,2016-06-11T00:00:00Z,2,2,NA
Almont,Boechera lignifera,Boechera lignifera,2016,2016-06-11T00:00:00Z,3,0,NA
Almont,Boechera lignifera,Boechera lignifera,2016,2016-06-11T00:00:00Z,4,0,NA
Almont,Boechera lignifera,Boechera lignifera,2016,2016-06-11T00:00:00Z,5,0,NA
Almont,Carex siccata,Carex siccata,2016,2016-06-11T00:00:00Z,1,4,NA
Almont,Carex siccata,Carex siccata,2016,2016-06-11T00:00:00Z,2,0,NA
Almont,Carex siccata,Carex siccata,2016,2016-06-11T00:00:00Z,3,23,NA
Almont,Carex siccata,Carex siccata,2016,2016-06-11T00:00:00Z,4,140,NA
Almont,Carex siccata,Carex siccata,2016,2016-06-11T00:00:00Z,5,11,NA
Almont,Castilleja angustifolia,Castilleja angustifolia,2016,2016-06-11T00:00:00Z,1,0,Syn. C. chromosa
Almont,Castilleja angustifolia,Castilleja angustifolia,2016,2016-06-11T00:00:00Z,2,0,Syn. C. chromosa
Almont,Castilleja angustifolia,Castilleja angustifolia,2016,2016-06-11T00:00:00Z,3,3,Syn. C. chromosa
Almont,Castilleja angustifolia,Castilleja angustifolia,2016,2016-06-11T00:00:00Z,4,10,Syn. C. chromosa
Almont,Castilleja angustifolia,Castilleja angustifolia,2016,2016-06-11T00:00:00Z,5,9,Syn. C. chromosa
Almont,Chrysothamnus depressus,Chrysothamnus depressus,2016,2016-06-11T00:00:00Z,1,0,NA
Almont,Chrysothamnus depressus,Chrysothamnus depressus,2016,2016-06-11T00:00:00Z,2,5,NA
Almont,Chrysothamnus depressus,Chrysothamnus depressus,2016,2016-06-11T00:00:00Z,3,6,NA
Almont,Chrysothamnus depressus,Chrysothamnus depressus,2016,2016-06-11T00:00:00Z,4,7,NA
Almont,Chrysothamnus depressus,Chrysothamnus depressus,2016,2016-06-11T00:00:00Z,5,4,NA
Almont,Chrysothamnus viscidiflorus,Chrysothamnus viscidiflorus,2016,2016-06-11T00:00:00Z,1,5,NA
Almont,Chrysothamnus viscidiflorus,Chrysothamnus viscidiflorus,2016,2016-06-11T00:00:00Z,2,0,NA
Almont,Chrysothamnus viscidiflorus,Chrysothamnus viscidiflorus,2016,2016-06-11T00:00:00Z,3,0,NA
Almont,Chrysothamnus viscidiflorus,Chrysothamnus viscidiflorus,2016,2016-06-11T00:00:00Z,4,0,NA
Almont,Chrysothamnus viscidiflorus,Chrysothamnus viscidiflorus,2016,2016-06-11T00:00:00Z,5,0,NA
Almont,Crepis occidentalis,Crepis occidentalis,2016,2016-06-11T00:00:00Z,1,1,"Counted some seedling leaves as this species. (Plot 1: 0 seedlings, 2:1, 3:0, 4:1, 5:0) Was pretty confident."
Almont,Crepis occidentalis,Crepis occidentalis,2016,2016-06-11T00:00:00Z,2,4,"Counted some seedling leaves as this species. (Plot 1: 0 seedlings, 2:1, 3:0, 4:1, 5:0) Was pretty confident."
Almont,Crepis occidentalis,Crepis occidentalis,2016,2016-06-11T00:00:00Z,3,5,"Counted some seedling leaves as this species. (Plot 1: 0 seedlings, 2:1, 3:0, 4:1, 5:0) Was pretty confident."
Almont,Crepis occidentalis,Crepis occidentalis,2016,2016-06-11T00:00:00Z,4,8,"Counted some seedling leaves as this species. (Plot 1: 0 seedlings, 2:1, 3:0, 4:1, 5:0) Was pretty confident."
Almont,Crepis occidentalis,Crepis occidentalis,2016,2016-06-11T00:00:00Z,5,4,"Counted some seedling leaves as this species. (Plot 1: 0 seedlings, 2:1, 3:0, 4:1, 5:0) Was pretty confident."
Almont,Elymus elymoides,Elymus elymoides,2016,2016-06-11T00:00:00Z,1,0,NA
Almont,Elymus elymoides,Elymus elymoides,2016,2016-06-11T00:00:00Z,2,3,NA
Almont,Elymus elymoides,Elymus elymoides,2016,2016-06-11T00:00:00Z,3,0,NA
Almont,Elymus elymoides,Elymus elymoides,2016,2016-06-11T00:00:00Z,4,0,NA
Almont,Elymus elymoides,Elymus elymoides,2016,2016-06-11T00:00:00Z,5,0,NA
Almont,Erigeron eatonii,Erigeron eatonii,2016,2016-06-11T00:00:00Z,1,1,NA
Almont,Erigeron eatonii,Erigeron eatonii,2016,2016-06-11T00:00:00Z,2,1,NA
Almont,Erigeron eatonii,Erigeron eatonii,2016,2016-06-11T00:00:00Z,3,0,NA
Almont,Erigeron eatonii,Erigeron eatonii,2016,2016-06-11T00:00:00Z,4,0,NA
Almont,Erigeron eatonii,Erigeron eatonii,2016,2016-06-11T00:00:00Z,5,1,NA
Almont,Mertensia fusiformis,Mertensia fusiformis,2016,2016-06-11T00:00:00Z,1,0,"Past flowering on 6-11. Used 2013 ID, but need flowers to verify."
Almont,Mertensia fusiformis,Mertensia fusiformis,2016,2016-06-11T00:00:00Z,2,6,"Past flowering on 6-11. Used 2013 ID, but need flowers to verify."
Almont,Mertensia fusiformis,Mertensia fusiformis,2016,2016-06-11T00:00:00Z,3,0,"Past flowering on 6-11. Used 2013 ID, but need flowers to verify."
Almont,Mertensia fusiformis,Mertensia fusiformis,2016,2016-06-11T00:00:00Z,4,1,"Past flowering on 6-11. Used 2013 ID, but need flowers to verify."
Almont,Mertensia fusiformis,Mertensia fusiformis,2016,2016-06-11T00:00:00Z,5,1,"Past flowering on 6-11. Used 2013 ID, but need flowers to verify."
Almont,Penstemon crandallii,Penstemon crandalii,2016,2016-06-11T00:00:00Z,1,6,Need anthers for Penst ID
Almont,Penstemon crandallii,Penstemon crandalii,2016,2016-06-11T00:00:00Z,2,9,Need anthers for Penst ID
Almont,Penstemon crandallii,Penstemon crandalii,2016,2016-06-11T00:00:00Z,3,10,Need anthers for Penst ID
Almont,Penstemon crandallii,Penstemon crandalii,2016,2016-06-11T00:00:00Z,4,1,Need anthers for Penst ID
Almont,Penstemon crandallii,Penstemon crandalii,2016,2016-06-11T00:00:00Z,5,0,Need anthers for Penst ID
Almont,Phlox hoodii,Phlox hoodii,2016,2016-06-11T00:00:00Z,1,5,NA
Almont,Phlox hoodii,Phlox hoodii,2016,2016-06-11T00:00:00Z,2,4,NA
Almont,Phlox hoodii,Phlox hoodii,2016,2016-06-11T00:00:00Z,3,4,NA
Almont,Phlox hoodii,Phlox hoodii,2016,2016-06-11T00:00:00Z,4,14,NA
Almont,Phlox hoodii,Phlox hoodii,2016,2016-06-11T00:00:00Z,5,16,NA
Almont,Poa fendleriana,Poa fendleriana,2016,2016-06-11T00:00:00Z,1,3,NA
Almont,Poa fendleriana,Poa fendleriana,2016,2016-06-11T00:00:00Z,2,24,NA
Almont,Poa fendleriana,Poa fendleriana,2016,2016-06-11T00:00:00Z,3,21,NA
Almont,Poa fendleriana,Poa fendleriana,2016,2016-06-11T00:00:00Z,4,22,NA
Almont,Poa fendleriana,Poa fendleriana,2016,2016-06-11T00:00:00Z,5,14,NA
Almont,Purshia tridentata,Purshia tridentata,2016,2016-06-11T00:00:00Z,1,1,NA
Almont,Purshia tridentata,Purshia tridentata,2016,2016-06-11T00:00:00Z,2,0,NA
Almont,Purshia tridentata,Purshia tridentata,2016,2016-06-11T00:00:00Z,3,0,NA
Almont,Purshia tridentata,Purshia tridentata,2016,2016-06-11T00:00:00Z,4,0,NA
Almont,Purshia tridentata,Purshia tridentata,2016,2016-06-11T00:00:00Z,5,0,NA
Almont,Sisymbrium linifolium,Schoenocrambe linifolia,2016,2016-06-11T00:00:00Z,1,6,Get this for RMBL herbarium
Almont,Sisymbrium linifolium,Schoenocrambe linifolia,2016,2016-06-11T00:00:00Z,2,0,Get this for RMBL herbarium
Almont,Sisymbrium linifolium,Schoenocrambe linifolia,2016,2016-06-11T00:00:00Z,3,0,Get this for RMBL herbarium
Almont,Sisymbrium linifolium,Schoenocrambe linifolia,2016,2016-06-11T00:00:00Z,4,0,Get this for RMBL herbarium
Almont,Sisymbrium linifolium,Schoenocrambe linifolia,2016,2016-06-11T00:00:00Z,5,0,Get this for RMBL herbarium
Almont,Symphoricarpos oreophilus,Symphoricarpos oreophilus,2016,2016-06-11T00:00:00Z,1,0,Syn: Symphoricarpos rotundifolius
Almont,Symphoricarpos oreophilus,Symphoricarpos oreophilus,2016,2016-06-11T00:00:00Z,2,0,Syn: Symphoricarpos rotundifolius
Almont,Symphoricarpos oreophilus,Symphoricarpos oreophilus,2016,2016-06-11T00:00:00Z,3,0,Syn: Symphoricarpos rotundifolius
Almont,Symphoricarpos oreophilus,Symphoricarpos oreophilus,2016,2016-06-11T00:00:00Z,4,0,Syn: Symphoricarpos rotundifolius
Almont,Symphoricarpos oreophilus,Symphoricarpos oreophilus,2016,2016-06-11T00:00:00Z,5,1,Syn: Symphoricarpos rotundifolius
Almont,Trifolium sp.,Trifolium sp.,2016,2016-06-11T00:00:00Z,1,20,"No flowers, even when I went back"
Almont,Trifolium sp.,Trifolium sp.,2016,2016-06-11T00:00:00Z,2,4,"No flowers, even when I went back"
Almont,Trifolium sp.,Trifolium sp.,2016,2016-06-11T00:00:00Z,3,3,"No flowers, even when I went back"
Almont,Trifolium sp.,Trifolium sp.,2016,2016-06-11T00:00:00Z,4,23,"No flowers, even when I went back"
Almont,Trifolium sp.,Trifolium sp.,2016,2016-06-11T00:00:00Z,5,0,"No flowers, even when I went back"
CBT,Achnatherum nelsonii,Achnatherum nelsonii,2016,2016-06-21T00:00:00Z,1,0,NA
CBT,Achnatherum nelsonii,Achnatherum nelsonii,2016,2016-06-21T00:00:00Z,2,0,NA
CBT,Achnatherum nelsonii,Achnatherum nelsonii,2016,2016-06-21T00:00:00Z,3,65,NA
CBT,Achnatherum nelsonii,Achnatherum nelsonii,2016,2016-06-21T00:00:00Z,4,0,NA
CBT,Achnatherum nelsonii,Achnatherum nelsonii,2016,2016-06-21T00:00:00Z,5,8,NA
CBT,AF10 - Unknown,AF10 - Unknown,2016,2016-06-21T00:00:00Z,1,0,Go back!
CBT,AF10 - Unknown,AF10 - Unknown,2016,2016-06-21T00:00:00Z,2,0,Go back!
CBT,AF10 - Unknown,AF10 - Unknown,2016,2016-06-21T00:00:00Z,3,0,Go back!
CBT,AF10 - Unknown,AF10 - Unknown,2016,2016-06-21T00:00:00Z,4,1,Go back!
CBT,AF10 - Unknown,AF10 - Unknown,2016,2016-06-21T00:00:00Z,5,0,Go back!
CBT,AF11 - Unknown,AF11 - Unknown,2016,2016-06-21T00:00:00Z,1,0,Go back!
CBT,AF11 - Unknown,AF11 - Unknown,2016,2016-06-21T00:00:00Z,2,0,Go back!
CBT,AF11 - Unknown,AF11 - Unknown,2016,2016-06-21T00:00:00Z,3,1,Go back!
CBT,AF11 - Unknown,AF11 - Unknown,2016,2016-06-21T00:00:00Z,4,0,Go back!
CBT,AF11 - Unknown,AF11 - Unknown,2016,2016-06-21T00:00:00Z,5,0,Go back!
CBT,Agrostis gigantea,Agrostis gigantea,2016,2016-07-26T00:00:00Z,1,0,This had a seedhead about a month later. I counted it as Phleum before; blades looked very similar and is intermixed with Phleum.
CBT,Agrostis gigantea,Agrostis gigantea,2016,2016-07-26T00:00:00Z,2,14,This had a seedhead about a month later. I counted it as Phleum before; blades looked very similar and is intermixed with Phleum.
CBT,Agrostis gigantea,Agrostis gigantea,2016,2016-07-26T00:00:00Z,3,0,This had a seedhead about a month later. I counted it as Phleum before; blades looked very similar and is intermixed with Phleum.
CBT,Agrostis gigantea,Agrostis gigantea,2016,2016-07-26T00:00:00Z,4,3,This had a seedhead about a month later. I counted it as Phleum before; blades looked very similar and is intermixed with Phleum.
CBT,Agrostis gigantea,Agrostis gigantea,2016,2016-07-26T00:00:00Z,5,10,This had a seedhead about a month later. I counted it as Phleum before; blades looked very similar and is intermixed with Phleum.
CBT,Androsace septentrionalis,Androsace septentrionalis,2016,2016-06-21T00:00:00Z,1,6,NA
CBT,Androsace septentrionalis,Androsace septentrionalis,2016,2016-06-21T00:00:00Z,2,0,NA
CBT,Androsace septentrionalis,Androsace septentrionalis,2016,2016-06-21T00:00:00Z,3,7,NA
CBT,Androsace septentrionalis,Androsace septentrionalis,2016,2016-06-21T00:00:00Z,4,0,NA
CBT,Androsace septentrionalis,Androsace septentrionalis,2016,2016-06-21T00:00:00Z,5,0,NA
CBT,Bromus carinatus,Ceratochloa carinata,2016,2016-06-21T00:00:00Z,1,35,"Confident that this grass was at 1 and 2, but not sure if it was the same grass at 3-5, so those are written as unknown (plot 3) or blue grass (plots 4-5) until I can go back."
CBT,Bromus carinatus,Ceratochloa carinata,2016,2016-06-21T00:00:00Z,2,0,"Confident that this grass was at 1 and 2, but not sure if it was the same grass at 3-5, so those are written as unknown (plot 3) or blue grass (plots 4-5) until I can go back."
CBT,Bromus carinatus,Ceratochloa carinata,2016,2016-06-21T00:00:00Z,3,2,"Confident that this grass was at 1 and 2, but not sure if it was the same grass at 3-5, so those are written as unknown (plot 3) or blue grass (plots 4-5) until I can go back."
CBT,Bromus carinatus,Ceratochloa carinata,2016,2016-06-21T00:00:00Z,4,0,"Confident that this grass was at 1 and 2, but not sure if it was the same grass at 3-5, so those are written as unknown (plot 3) or blue grass (plots 4-5) until I can go back."
CBT,Bromus carinatus,Ceratochloa carinata,2016,2016-06-21T00:00:00Z,5,0,"Confident that this grass was at 1 and 2, but not sure if it was the same grass at 3-5, so those are written as unknown (plot 3) or blue grass (plots 4-5) until I can go back."
CBT,Collomia linearis,Collomia linearis,2016,2016-06-21T00:00:00Z,1,99,NA
CBT,Collomia linearis,Collomia linearis,2016,2016-06-21T00:00:00Z,2,0,NA
CBT,Collomia linearis,Collomia linearis,2016,2016-06-21T00:00:00Z,3,19,NA
CBT,Collomia linearis,Collomia linearis,2016,2016-06-21T00:00:00Z,4,0,NA
CBT,Collomia linearis,Collomia linearis,2016,2016-06-21T00:00:00Z,5,0,NA
CBT,Equisetum laevigatum,Equisetum laevigatum,2016,2016-06-21T00:00:00Z,1,0,NA
CBT,Equisetum laevigatum,Equisetum laevigatum,2016,2016-06-21T00:00:00Z,2,4,NA
CBT,Equisetum laevigatum,Equisetum laevigatum,2016,2016-06-21T00:00:00Z,3,7,NA
CBT,Equisetum laevigatum,Equisetum laevigatum,2016,2016-06-21T00:00:00Z,4,6,NA
CBT,Equisetum laevigatum,Equisetum laevigatum,2016,2016-06-21T00:00:00Z,5,0,NA
CBT,Geum triflorum,Geum triflorum,2016,2016-06-21T00:00:00Z,1,0,NA
CBT,Geum triflorum,Geum triflorum,2016,2016-06-21T00:00:00Z,2,0,NA
CBT,Geum triflorum,Geum triflorum,2016,2016-06-21T00:00:00Z,3,0,NA
CBT,Geum triflorum,Geum triflorum,2016,2016-06-21T00:00:00Z,4,19,NA
CBT,Geum triflorum,Geum triflorum,2016,2016-06-21T00:00:00Z,5,1,NA
CBT,Juncus sp.,Juncus sp.,2016,2016-06-21T00:00:00Z,1,0,NA
CBT,Juncus sp.,Juncus sp.,2016,2016-06-21T00:00:00Z,2,0,NA
CBT,Juncus sp.,Juncus sp.,2016,2016-06-21T00:00:00Z,3,0,NA
CBT,Juncus sp.,Juncus sp.,2016,2016-06-21T00:00:00Z,4,0,NA
CBT,Juncus sp.,Juncus sp.,2016,2016-06-21T00:00:00Z,5,29,NA
CBT,Leucanthemum vulgare,Leucanthemum vulgare,2016,2016-06-21T00:00:00Z,1,48,NA
CBT,Leucanthemum vulgare,Leucanthemum vulgare,2016,2016-06-21T00:00:00Z,2,36,NA
CBT,Leucanthemum vulgare,Leucanthemum vulgare,2016,2016-06-21T00:00:00Z,3,0,NA
CBT,Leucanthemum vulgare,Leucanthemum vulgare,2016,2016-06-21T00:00:00Z,4,1,NA
CBT,Leucanthemum vulgare,Leucanthemum vulgare,2016,2016-06-21T00:00:00Z,5,0,NA
CBT,Mertensia sp.,Mertensia sp.,2016,2016-06-21T00:00:00Z,1,0,NA
CBT,Mertensia sp.,Mertensia sp.,2016,2016-06-21T00:00:00Z,2,0,NA
CBT,Mertensia sp.,Mertensia sp.,2016,2016-06-21T00:00:00Z,3,0,NA
CBT,Mertensia sp.,Mertensia sp.,2016,2016-06-21T00:00:00Z,4,7,NA
CBT,Mertensia sp.,Mertensia sp.,2016,2016-06-21T00:00:00Z,5,0,NA
CBT,Penstemon rydbergii,Penstemon rydbergii,2016,2016-06-21T00:00:00Z,1,0,NA
CBT,Penstemon rydbergii,Penstemon rydbergii,2016,2016-06-21T00:00:00Z,2,2,NA
CBT,Penstemon rydbergii,Penstemon rydbergii,2016,2016-06-21T00:00:00Z,3,0,NA
CBT,Penstemon rydbergii,Penstemon rydbergii,2016,2016-06-21T00:00:00Z,4,9,NA
CBT,Penstemon rydbergii,Penstemon rydbergii,2016,2016-06-21T00:00:00Z,5,0,NA
CBT,Phleum pratense,Phleum pratense,2016,2016-06-21T00:00:00Z,1,6,NA
CBT,Phleum pratense,Phleum pratense,2016,2016-06-21T00:00:00Z,2,86,NA
CBT,Phleum pratense,Phleum pratense,2016,2016-06-21T00:00:00Z,3,42,NA
CBT,Phleum pratense,Phleum pratense,2016,2016-06-21T00:00:00Z,4,49,NA
CBT,Phleum pratense,Phleum pratense,2016,2016-06-21T00:00:00Z,5,75,NA
CBT,Poa pratensis,Poa pratensis,2016,2016-06-21T00:00:00Z,1,287,NA
CBT,Poa pratensis,Poa pratensis,2016,2016-06-21T00:00:00Z,2,79,NA
CBT,Poa pratensis,Poa pratensis,2016,2016-06-21T00:00:00Z,3,301,NA
CBT,Poa pratensis,Poa pratensis,2016,2016-06-21T00:00:00Z,4,360,NA
CBT,Poa pratensis,Poa pratensis,2016,2016-06-21T00:00:00Z,5,506,NA
CBT,Potentilla fruticosa,Potentilla fruticosa,2016,2016-06-21T00:00:00Z,1,1,NA
CBT,Potentilla fruticosa,Potentilla fruticosa,2016,2016-06-21T00:00:00Z,2,3,NA
CBT,Potentilla fruticosa,Potentilla fruticosa,2016,2016-06-21T00:00:00Z,3,0,NA
CBT,Potentilla fruticosa,Potentilla fruticosa,2016,2016-06-21T00:00:00Z,4,1,NA
CBT,Potentilla fruticosa,Potentilla fruticosa,2016,2016-06-21T00:00:00Z,5,8,NA
CBT,Potentilla gracilis,Potentilla gracilis,2016,2016-06-21T00:00:00Z,1,0,NA
CBT,Potentilla gracilis,Potentilla gracilis,2016,2016-06-21T00:00:00Z,2,0,NA
