"","Date","Site","Chamber","PlotID","Cover","StartTime","StartCO2","StopTime","StopCo2","PAR1","PAR2","PAR3","PAR4","PAR5","IRgun1","IRgun2","IRgun3","Weather","Treatment","ST1","ST2","SM1","SM2","SM3","SM4","PAR_mean","IR_mean","ST_mean","SM_mean","H2o","inter","dcdt","rsqd","comment","NEE","Year","Country","Gradient","Project"
"1","21.07.2018","5",2939,"A","L","11:21:00","378","11:23:00",389,171,169,173,172,NA,NA,NA,NA,"Overcast","Bird",5.3,4.8,5.9,14,14.7,4.9,171.25,NA,5.05,9.875,8.5,378.05,0.128,0.935,NA,2.23899541262977,"2018","SV","B","T"
"2","21.07.2018","5",2939,"A","D","11:24:00","388","11:26:00",397,0,0,0,0,0,4.4,3.8,4.4,"Overcast","Bird",5.3,4.8,5.9,14,14.7,4.9,0,4.2,5.05,9.875,8.5,388.27,0.072,0.937,NA,1.25943491960425,"2018","SV","B","T"
"3","21.07.2018","5",2939,"B","L","11:13:00","383","11:15:00",393,143,155,160,161,163,NA,NA,NA,"Overcast","Bird",5.1,5,12.5,6.7,8.7,10.6,156.4,NA,5.05,9.625,8.5,376.11,0.138,0.958,NA,2.41391692924147,"2018","SV","B","T"
"4","21.07.2018","5",2939,"B","D","11:16:00","381","11:18:00",398,0,0,0,0,0,3.4,3.3,3.4,"Overcast","Bird",5.1,5,12.5,6.7,8.7,10.6,0,3.36666666666667,5.05,9.625,8.5,381.3,0.136,0.968,NA,2.37893262591913,"2018","SV","B","T"
"5","21.07.2018","5",2939,"C","L","11:03:00","383","11:05:00",385,195,193,196,185,190,NA,NA,NA,"Overcast","Bird",5.2,5.3,8.9,15.3,10.8,3.3,191.8,NA,5.25,9.575,8.5,382.33,0.037,0.692,NA,0.64674466202977,"2018","SV","B","T"
"6","21.07.2018","5",2939,"C","D","11:06:00","380","11:08:00",402,0,0,0,0,0,3.6,3.3,3.9,"Overcast","Bird",5.2,5.3,8.9,15.3,10.8,3.3,0,3.6,5.25,9.575,8.5,380.03,0.198,0.988,NA,3.46095792113229,"2018","SV","B","T"
"7","21.07.2018","5",2939,"D","L","10:54:00","383","10:56:00",380,185,197,196,185,193,NA,NA,NA,"Overcast","Bird",5.6,5.2,6.3,3.7,8.8,3.6,191.2,NA,5.4,5.6,8.5,383.6,-0.022,0.733,NA,-0.384343798337912,"2018","SV","B","T"
"8","21.07.2018","5",2939,"D","D","10:58:00","379","11:00:00",390,0,0,0,0,0,3.8,4.4,4.2,"Overcast","Bird",5.6,5.2,6.3,3.7,8.8,3.6,0,4.13333333333333,5.4,5.6,8.5,379.4,0.092,0.966,NA,1.60725588395854,"2018","SV","B","T"
"9","21.07.2018","5",2939,"E","L","10:38:00","372","11:40:00",373,227,222,215,210,206,NA,NA,NA,"Overcast","Bird",5.7,5.5,5.5,9.2,0.8,2.4,216,NA,5.6,4.475,8.5,371.22,0.014,0.438,NA,0.244406931981795,"2018","SV","B","T"
"10","21.07.2018","5",2939,"E","D","10:43:00","375","10:46:00",382,0,0,0,0,0,4.2,3.1,3.3,"Overcast","Bird",5.7,5.5,5.5,9.2,0.8,2.4,0,3.53333333333333,5.6,4.475,8.5,375.54,0.0469,0.882,NA,0.818763222139012,"2018","SV","B","T"
"11","18.07.2018","5",2939,"A","L","12:49:00","384","12:52:00",385,431,439,449,459,469,8.1,7.3,7.4,"Overcast","Control",7.8,7.2,10.3,22.1,6.9,21,449.4,7.6,7.5,15.075,10,383.63,0.008,0.195,"flat",0.138507836809191,"2018","SV","C","T"
"12","18.07.2018","5",2939,"A","D","12:54:00","384","12:56:00",386,0,0,0,0,0,NA,NA,NA,"Overcast","Control",7.8,7.2,10.3,22.1,6.9,21,0,NA,7.5,15.075,10,384.71,0.007,0.19,"flat",0.121194357208042,"2018","SV","C","T"
"13","18.07.2018","5",2939,"B","L","13:04:00","383","13:06:00",384,500,517,548,579,619,10.4,11.2,9.8,"Overcast","Control",7.7,7.8,23.3,10.5,18.6,10.2,552.6,10.4666666666667,7.75,15.65,10,384.77,-0.002,0.016,"flat",-0.0345961413318791,"2018","SV","C","T"
"14","18.07.2018","5",2939,"B","D","13:07:00","385","13:09:00",393,0,0,0,0,0,NA,NA,NA,"Overcast","Control",7.7,7.8,23.3,10.5,18.6,10.2,0,NA,7.75,15.65,10,385.33,0.066,0.92,NA,1.14167266395201,"2018","SV","C","T"
"15","18.07.2018","5",2939,"C","L","13:15:00","384","13:17:00",388,587,583,582,581,579,14,12.7,13.5,"Overcast","Control",8.7,8.4,12.6,9.6,29,20.5,582.4,13.4,8.55,17.925,10,384.12,0.041,0.804,NA,0.70720678044927,"2018","SV","C","T"
"16","18.07.2018","5",2939,"C","D","13:18:00","385","13:20:00",398,0,0,0,0,0,11,10.5,10.5,"Overcast","Control",8.7,8.4,12.6,9.6,29,20.5,0,10.6666666666667,8.55,17.925,10,386.08,0.107,0.945,NA,1.84563720751395,"2018","SV","C","T"
"17","18.07.2018","5",2939,"D","L","13:29:00","390","13:31:00",396,434,441,451,458,460,10.5,9.9,10.8,"Overcast","Control",8.6,9.7,15.1,21.4,12.1,12.9,448.8,10.4,9.15,15.375,10,391.49,0.035,0.744,NA,0.602429974325841,"2018","SV","C","T"
"18","18.07.2018","5",2939,"D","D","13:32:00","389","13:34:00",399,0,0,0,0,0,11,10.7,12.2,"Overcast","Control",8.6,9.7,15.1,21.4,12.1,12.9,0,11.3,9.15,15.375,10,390.76,0.067,0.93,NA,1.15322309370947,"2018","SV","C","T"
"19","18.07.2018","5",2939,"E","L","13:40:00","383","13:43:00",381,364,365,357,354,354,13.7,10.6,10.6,"Overcast","Control",7.8,8.3,14.7,13.5,5.8,16.1,358.8,11.6333333333333,8.05,12.525,10,382.86,-0.012,0.286,"flat",-0.207355393317031,"2018","SV","C","T"
"20","18.07.2018","6",2939,"E","D","11:20:00","393","11:23:00",415,0,0,0,0,0,NA,NA,NA,"Cloudy","Control",8.3,8.4,4.5,5.1,1,10.8,0,NA,8.35,5.35,10,386.23,0.0358,0.835,NA,0.617950991801899,"2018","SV","C","T"
"21","18.07.2018","6",2939,"E","L","11:15:00","394","11:17:00",410,670,486,477,12.1,15.1,12.1,6.9,2.3,"Cloudy","Control",8.3,8.4,4.5,5.1,1,10.8,332.04,7.1,8.35,5.35,10,385.81,0.216,0.971,NA,3.72841939187738,"2018","SV","C","T"
"22","18.07.2018","6",2939,"E","D","11:20:00","393","11:23:00",415,0,0,0,0,0,NA,NA,NA,"Cloudy","Control",8.3,8.4,4.5,5.1,1,10.8,0,NA,8.35,5.35,10,386.34,0.222,0.956,NA,3.83198659720731,"2018","SV","C","T"
"23","18.07.2018","6",2939,"F","L","11:27:00","381","07:12:00",382,556,366,575,659,756,17.5,15.1,12,"Cloudy","Control",9.8,9.4,10,13,7.1,12.8,582.4,14.8666666666667,9.6,10.725,10,380.92,0.017,0.54,"flat",0.292143154203576,"2018","SV","C","T"
"24","18.07.2018","6",2939,"F","D","11:31:00","383","11:33:00",385,0,0,0,0,0,NA,NA,NA,"Cloudy","Control",9.8,9.4,10,13,7.1,12.8,0,NA,9.6,10.725,10,384.09,0.012,0.301,"flat",0.206218697084877,"2018","SV","C","T"
"25","18.07.2018","6",2939,"G","L","11:36:00","381","11:38:00",384,979,746,645,647,607,21.1,13.3,9.4,"Overcast","Control",9.2,9.3,14.6,12.5,11.6,11.4,724.8,14.6,9.25,12.525,10,381.96,0.017,0.465,"flat",0.292505229642568,"2018","SV","C","T"
"26","18.07.2018","6",2939,"G","D","11:38:00","382","11:41:00",385,0,0,0,0,0,NA,NA,NA,"Overcast","Control",9.2,9.3,14.6,12.5,11.6,11.4,0,NA,9.25,12.525,10,382.24,0.02,0.568,"flat",0.344123799579492,"2018","SV","C","T"
"27","19.07.2018","2",2939,"A","L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018","SV","C","T"
"28","19.07.2018","2",2939,"A","D","14:10:36","385","14:12:43",398,0,0,0,0,0,10.8,9.7,9.8,"overcast","Control",9.3,9.5,17.8,16.6,28.7,23.1,0,10.1,9.4,21.55,11,386.41,0.121,0.93,NA,2.07876287971508,"2018","SV","C","T"
"29","19.07.2018","2",2939,"B","L","14:01:28","388","14:03:28",406,319,294,303,280,265,11.1,10.4,10.5,"overcast","Control",9.4,9.3,17.4,13.1,14.8,18.8,292.2,10.6666666666667,9.35,16.025,11,391.62,0.129,0.955,NA,2.21659399589237,"2018","SV","C","T"
"30","19.07.2018","2",2939,"B","D","14:04:25","382","14:06:41",403,0,0,0,0,0,10.9,10.2,10.1,"overcast","Control",9.4,9.3,17.4,13.1,14.8,18.8,0,10.4,9.35,16.025,11,385.09,0.202,0.964,NA,3.47094563697875,"2018","SV","C","T"
"31","19.07.2018","2",2939,"C","L","13:51:13","384","13:53:19",399,348,355,373,378,393,12.1,12.4,12.1,"overcast","Control",8.7,9.7,17.6,13.1,20.4,19.1,369.4,12.2,9.2,17.55,11,385.8,0.142,0.951,NA,2.44126793386136,"2018","SV","C","T"
"32","19.07.2018","2",2939,"C","D","13:54:18","382","13:56:22",425,0,0,0,0,0,13.4,12.9,13.5,"overcast","Control",8.7,9.7,17.6,13.1,20.4,19.1,0,13.2666666666667,9.2,17.55,11,385.31,0.352,0.985,NA,6.05159375154365,"2018","SV","C","T"
"33","19.07.2018","2",2939,"D","L","13:40:19","376","13:42:22",374,364,361,361,358,356,12.1,11.5,11.8,"overcast","Control",8.4,8.8,20.8,13.6,13.4,18.8,360,11.8,8.6,16.65,11,378.04,-0.036,0.646,"flat",-0.62023100192527,"2018","SV","C","T"
"34","19.07.2018","2",2939,"D","D","13:44:54","383","13:46:56",385,0,0,0,0,0,11.3,11.2,11.2,"overcast","Control",8.4,8.8,20.8,13.6,13.4,18.8,0,11.2333333333333,8.6,16.65,11,390.2,-0.028,0.687,"leak",-0.482401890386322,"2018","SV","C","T"
"35","19.07.2018","2",2939,"E","L","13:30:23","381","13:32:47",390,261,367,260,270,279,11,9.8,9.7,"overcast","Control",9.6,9.6,23.2,20.8,6.2,14.8,287.4,10.1666666666667,9.6,16.25,11,381.57,0.059,0.911,NA,1.01289468540665,"2018","SV","C","T"
"36","19.07.2018","2",2939,"E","D","13:34:19","379","13:36:22",386,0,0,0,0,0,12.3,11.9,12.8,"overcast","Control",9.6,9.6,23.2,20.8,6.2,14.8,0,12.3333333333333,9.6,16.25,11,379.48,0.0503,0.911,NA,0.863535638575497,"2018","SV","C","T"
"37","19.07.2018","3",2939,"A","L","12:48:38","379","12:51:02",385,422,419,416,411,407,13.3,13.3,12.9,"overcast","Control",8,7,9.1,12.1,19.8,19,415,13.1666666666667,7.5,15,11,381.94,0.0387,0.834,NA,0.669361628903896,"2018","SV","C","T"
"38","19.07.2018","3",2939,"A","D","12:52:12","380","12:54:04",395,0,0,0,0,0,12.5,12.5,11.7,"overcast","Control",8,7,9.1,12.1,19.8,19,0,12.2333333333333,7.5,15,11,381.96,0.1968,0.928,NA,3.40388549272059,"2018","SV","C","T"
"39","19.07.2018","3",2939,"B","L","12:37:45","380","12:40:15",389,466,465,462,458,460,12.1,12.2,12.9,"overcast","Control",8.5,8.9,12.5,11.9,13.4,12.5,462.2,12.4,8.7,12.575,11,381.53,0.0642,0.908,NA,1.10568618489691,"2018","SV","C","T"
"40","19.07.2018","3",2939,"B","D","12:41:02","380","12:43:15",402,0,0,0,0,0,12.7,12.5,12.3,"overcast","Control",8.5,8.9,12.5,11.9,13.4,12.5,0,12.5,8.7,12.575,11,382.83,0.157,0.975,NA,2.70393662038652,"2018","SV","C","T"
"41","19.07.2018","3",2939,"C","L","12:28:24","383","12:30:28",384,320,318,317,319,321,13.3,12,11.9,"overcast","Control",6.3,6.7,16.7,7.2,19.8,20.4,319,12.4,6.5,16.025,11,384.02,-0.0035,0.031,"flat",-0.0607530540927705,"2018","SV","C","T"
"42","19.07.2018","3",2939,"C","D","12:31:50","387","12:34:17",399,0,0,0,0,0,12.6,12,11.5,"overcast","Control",6.3,6.7,16.7,7.2,19.8,20.4,0,12.0333333333333,6.5,16.025,11,388.69,0.0747,0.946,NA,1.29664375449427,"2018","SV","C","T"
"43","19.07.2018","3",2939,"D","L","12:18:40","387","12:20:45",392,416,418,415,415,414,14.6,13.9,14.8,"overcast","Control",7.8,7.5,17,10.9,15.8,6.6,415.6,14.4333333333333,7.65,12.575,11,386.54,0.074,0.922,NA,1.27923257702605,"2018","SV","C","T"
"44","19.07.2018","3",2939,"D","D","12:21:47","383","12:23:50",395,0,0,0,0,0,13.7,12.7,13,"overcast","Control",7.8,7.5,17,10.9,15.8,6.6,0,13.1333333333333,7.65,12.575,11,385.6,0.0906,0.94,NA,1.56619556052108,"2018","SV","C","T"
"45","19.07.2018","3",2939,"E","L","12:09:14","378","12:11:28",378,560,555,548,511,486,14.4,11.9,13.8,"overcast","Control",5.5,5.6,15.5,10.1,15.7,11.4,532,13.3666666666667,5.55,13.175,11,378.27,-0.0075,0.184,"flat",-0.13062887572692,"2018","SV","C","T"
"46","19.07.2018","3",2939,"E","D","12:12:19","379","12:14:25",390,0,0,0,0,0,12.5,13.5,12.9,"overcast","Control",5.5,5.6,15.5,10.1,15.7,11.4,0,12.9666666666667,5.55,13.175,11,379.92,0.0915,0.96,NA,1.59367228386843,"2018","SV","C","T"
"47","19.07.2018","4",2939,"A","L","11:37:30","383","11:39:30",386,336,334,333,330,329,12.1,9.6,11.4,"overcast","Control",7.9,7.7,2.8,5.7,40.2,10.1,332.4,11.0333333333333,7.8,14.7,11,382.8,0.0307,0.778,NA,0.530425303348565,"2018","SV","C","T"
"48","19.07.2018","4",2939,"A","D","11:40:45","384","11:42:50",387,0,0,0,0,0,10.7,10.3,11,"overcast","Control",7.9,7.7,2.8,5.7,40.2,10.1,0,10.6666666666667,7.8,14.7,11,384.11,0.0184,0.481,NA,0.31790962806559,"2018","SV","C","T"
"49","19.07.2018","4",2939,"B","L","11:27:00","382","11:29:00",392,361,350,351,1349,343,13.2,11.5,12.9,"overcast","Control",6.3,5.6,22.6,29.2,16,12.7,550.8,12.5333333333333,5.95,20.125,11,383.16,0.0809,0.917,NA,1.40703071974489,"2018","SV","C","T"
"50","19.07.2018","4",2939,"B","D","11:30:48","379","11:33:48",398,0,0,0,0,0,10.6,10.5,9.7,"overcast","Control",6.3,5.6,22.6,29.2,16,12.7,0,10.2666666666667,5.95,20.125,11,381.43,0.1435,0.965,NA,2.49578378595046,"2018","SV","C","T"
"51","19.07.2018","4",2939,"C","L","11:13:35","384","11:15:40",400,243,242,240,337,235,10.9,9.3,9.9,"overcast","Control",6,6.4,18.5,31.7,25.4,30.3,259.4,10.0333333333333,6.2,26.475,11,390.34,0.1671,0.979,NA,2.90363931833995,"2018","SV","C","T"
"52","19.07.2018","4",2939,"C","D","11:17:00","388","11:19:59",400,0,0,0,0,0,10.9,9.9,10.5,"overcast","Control",6,6.4,18.5,31.7,25.4,30.3,0,10.4333333333333,6.2,26.475,11,NA,NA,NA,NA,NA,"2018","SV","C","T"
"53","19.07.2018","4",2939,"D","L","11:48:16","385","11:50:17",377,218,207,207,203,198,11.4,10,10.8,"overcast","Control",6.2,6.2,17.3,10.1,20.5,10.2,206.6,10.7333333333333,6.2,14.525,11,383.85,-0.0512,0.766,NA,-0.889684818067059,"2018","SV","C","T"
"54","19.07.2018","4",2939,"D","D","11:52:12","390","11:54:20",387,0,0,0,0,0,10.6,10.6,10.1,"overcast","Control",6.2,6.2,17.3,10.1,20.5,10.2,0,10.4333333333333,6.2,14.525,11,387.29,-0.0012,0.002,"leak?",-0.0208519879234467,"2018","SV","C","T"
"55","19.07.2018","4",2939,"E","L","11:00:55","377","11:03:00",376,348,342,341,NA,NA,11,12,9,"overcast","Control",7.1,7.2,20,17.4,16.8,27.7,343.666666666667,10.6666666666667,7.15,20.475,11,378.04,-0.0123,0.364,NA,-0.213008487230653,"2018","SV","C","T"
"56","19.07.2018","4",2939,"E","D","11:06:00","379","11:08:55",387,0,0,0,0,0,11.6,11,9.7,"overcast","Control",7.1,7.2,20,17.4,16.8,27.7,0,10.7666666666667,7.15,20.475,11,380.81,0.0582,0.891,NA,1.00789381762797,"2018","SV","C","T"
"57","18.07.2018","6",2530,"A","D","12:06:00","363","12:08:00",378,0,0,0,0,0,11,10.7,6.5,"sunny","Control",9.8,8.9,9.6,2.5,10.1,7.1,0,9.4,9.35,7.325,11,365.8813,0.1097887,0.9427643,NA,1.88648816462658,"2018","SV","C","T"
"58","18.07.2018","6",2530,"A","L","12:02:00","360","12:04:00",364,1357,1340,1331,1312,1285,11.5,12,8.2,"sunny","Control",9.8,8.9,9.6,2.5,10.1,7.1,1325,10.5666666666667,9.35,7.325,11,361.0704,0.02893426,0.7949543,NA,0.497174472803014,"2018","SV","C","T"
"59","18.07.2018","6",2530,"B","D","12:17:00","359","12:19:00",394,0,0,0,0,0,7.5,7.2,8.2,"sun-cloud","Control",9.5,8.2,6.9,9.5,9.4,4.4,0,7.63333333333333,8.85,7.55,11,363.7636,0.2465942,0.9680784,NA,4.24471605194298,"2018","SV","C","T"
"60","18.07.2018","6",2530,"B","L","12:13:00","354","12:15:00",369,578,1094,475,814,440,5.2,8,5.5,"sun-cloud","Control",9.5,8.2,6.9,9.5,9.4,4.4,680.2,6.23333333333333,8.85,7.55,11,354.594,0.1160684,0.9702266,NA,1.99792777203737,"2018","SV","C","T"
"61","18.07.2018","6",2530,"C","D","12:27:00","359","12:29:00",380,0,0,0,0,0,11.5,11.3,12,"cloudy","Control",10,7.8,14.2,15.9,12.6,13.1,0,11.6,8.9,13.95,11,362.896,0.1679905,0.9520872,NA,2.89116922918762,"2018","SV","C","T"
"62","18.07.2018","6",2530,"C","L","12:22:00","360","12:24:00",369,559,565,576,580,592,9,8.7,8,"cloudy","Control",10,7.8,14.2,15.9,12.6,13.1,574.4,8.56666666666667,8.9,13.95,11,361.7953,0.06301559,0.8954566,NA,1.08451808148141,"2018","SV","C","T"
"63","18.07.2018","6",2530,"D","D","12:38:00","380","12:40:00",410,0,0,0,0,0,10.5,10.6,10.9,"cloudy","Control",11,9.2,14.8,1.7,14.7,19.3,0,10.6666666666667,10.1,12.625,11,381.7257,0.3058518,0.9785486,NA,5.24150514699636,"2018","SV","C","T"
"64","18.07.2018","6",2530,"D","L","12:33:00","375","12:36:00",399,518,528,519,525,523,12.6,14.8,10.6,"cloudy","Control",11,9.2,14.8,1.7,14.7,19.3,522.6,12.6666666666667,10.1,12.625,11,376.0392,0.2347483,0.9826896,NA,4.02297590760835,"2018","SV","C","T"
"65","18.07.2018","7",2530,"A","D","11:44:00","354","11:46:00",361,0,0,0,0,0,13.4,11.3,8.6,"sunny","Control",8.9,9.2,10.5,1.2,2.7,10.1,0,11.1,9.05,6.125,11,355.3293,0.06587052,0.7034,"bad",1.13304974361391,"2018","SV","C","T"
"66","18.07.2018","7",2530,"A","L","11:41:00","356","11:43:00",359,1392,1194,906,814,757,9.5,15,7,"sunny","Control",8.9,9.2,10.5,1.2,2.7,10.1,1012.6,10.5,9.05,6.125,11,357.1253,0.034202,0.5028,"flattish_bad",0.588314276721711,"2018","SV","C","T"
"67","18.07.2018","7",2530,"B","D","11:37:00","359","11:39:00",370,0,0,0,0,0,10.3,6.4,7.9,"semi-cloudy","Control",8.2,8.6,2.9,2,4.3,12,0,8.2,8.4,5.3,11,355.6352,0.1349137,0.9632962,NA,2.32603055650886,"2018","SV","C","T"
"68","18.07.2018","7",2530,"B","L","11:34:00","357","11:37:00",359,630,1063,1265,1442,1210,8.2,7.5,3.6,"semi-cloudy","Control",8.2,8.6,2.9,2,4.3,12,1122,6.43333333333333,8.4,5.3,11,360.3061,-0.004725275,0.04242568,NA,-0.0814678867891652,"2018","SV","C","T"
"69","18.07.2018","7",2530,"C","D","11:31:00","359","11:33:00",373,0,0,0,0,0,NA,NA,NA,"semi-cloudy","Control",7.2,8.9,7.7,6.7,15.7,11.9,0,NA,8.05,10.5,11,354.108,0.001968484,0.01107072,"flat",0.033980633190352,"2018","SV","C","T"
"70","18.07.2018","7",2530,"C","L","11:28:00","353","11:30:00",354,794,866,722,688,612,8,15,9.4,"semi-cloudy","Control",7.2,8.9,7.7,6.7,15.7,11.9,736.4,10.8,8.05,10.5,11,362.1282,0.09290094,0.912024,NA,1.60368728685572,"2018","SV","C","T"
"71","18.07.2018","7",2530,"D","D","11:24:00","356","11:26:00",357,0,0,0,0,0,NA,NA,NA,"semi-cloudy","Control",10.6,9,8.1,6.9,2.7,1.7,0,NA,9.8,4.85,11,356.0712,0.02996536,0.5913546,NA,0.514072883002115,"2018","SV","C","T"
"72","18.07.2018","7",2530,"D","L","11:22:00","356","11:24:00",356,680,754,671,695,680,8.4,17.5,7.2,"semi-cloudy","Control",10.6,9,8.1,6.9,2.7,1.7,696,11.0333333333333,9.8,4.85,11,356.533,0.001453938,0.005155347,"flat",0.0249431376551568,"2018","SV","C","T"
